"SC","指数名","日付","終値","前日比","前日比(％)","前日終値","時価総額(指数用・浮動株ベース)","時価総額前日比(同左)","前日時価総額(同左)","平均時価総額(同左)","基準時価総額","銘柄数","売買単位換算後株式数"
"005F","不動産業","20250522","2001.84","-8.39","-0.42","2010.23","9905036136702","-41541516803","9946577653506","19810072273405","494797350687","50","6263596820"
"0060","サービス業","20250522","3037.03","-21.5","-0.7","3058.53","23789991698025","-168396125277","23958387823302","14506092498796","783331006259","164","10679922933"
"0070","東証グロース市場250指数","20250522","713.89","-2.68","-0.37","716.57","2765913191151","-14292387595","2780205578746","984310744182","3874404144326","281","3738892219"
"0075","REIT","20250522","1714.94","1.28","0.07","1713.66","13738596178865","10322661948","13728273516917","24102800313798","8011100224620","57","11420887970"
"0080","TOPIX-17 食品","20250522","386.56","-0.88","-0.23","387.44","16577999340916","-37522552442","16615521893358","21253845308866","4288554267223","78","6095457719"
"0081","TOPIX-17 エネルギー資源","20250522","195.74","-2.82","-1.42","198.56","3663394236907","-52857682915","3716251919822","30528285307562","1871566206072","12","3831356183"
"0082","TOPIX-17 建設・資材","20250522","356.59","-1.54","-0.43","358.13","17560408655125","-75591601414","17636000256538","13404892103149","4924532914293","131","6951689210"
"0083","TOPIX-17 素材・化学","20250522","288.2","-1.14","-0.39","289.34","27580415134382","-108630406644","27689045541026","18145009956830","9569769219956","152","14144416746"
"0084","TOPIX-17 医薬品","20250522","259.49","1.81","0.7","257.68","21160599757741","147487139524","21013112618217","62237058111004","8154625741780","34","6534747471"
"0085","TOPIX-17 自動車・輸送機","20250522","313.92","-4.3","-1.35","318.22","40493170834322","-555051675907","41048222510229","73623946971495","12899214274606","55","19008594892"
"0086","TOPIX-17 鉄鋼・非鉄","20250522","295.53","-0.22","-0.07","295.75","8449363365936","-6175101714","8455538467649","19649682246363","2859059994669","43","3464571255"
"0087","TOPIX-17 機械","20250522","647.27","-0.65","-0.1","647.92","29852855693366","-30161850102","29883017543468","25515261276381","4612146677705","117","8659711003"
"0088","TOPIX-17 電機・精密","20250522","368.8","-3.33","-0.89","372.13","100374891362431","-906512208736","101281403571167","62734307101519","27216317039835","160","30176632529"
"0089","TOPIX-17 情報通信・サービスその他","20250522","386.44","-1.41","-0.36","387.85","80468381890068","-294198628332","80762580518399","21120310207367","20822931726906","381","85757144983"
"008A","TOPIX-17 電力・ガス","20250522","79.48","-0.5","-0.63","79.98","6403497227108","-40600439150","6444097666258","27841292291774","8056879842435","23","4471503138"
"008B","TOPIX-17 運輸・物流","20250522","201","-0.71","-0.35","201.71","18698074928483","-65781359251","18763856287734","31691652421158","9302562999653","59","6926210777"
"008C","TOPIX-17 商社・卸売","20250522","910.25","-12.17","-1.32","922.42","36286850688751","-485160465153","36772011153903","27912962068270","3986451097818","130","11381011231"
"008D","TOPIX-17 小売","20250522","347.39","-0.62","-0.18","348.01","25299247261545","-44925848747","25344173110292","17210372286765","7282672426796","147","8012218847"
"008E","TOPIX-17 銀行","20250522","242.72","-1.46","-0.6","244.18","46502834863610","-279393809976","46782228673586","68386521858250","19159289127590","68","22267106205"
"008F","TOPIX-17 金融（除く銀行）","20250522","273.48","-1.26","-0.46","274.74","27209264233560","-125996264964","27335260498524","56685967153250","9949331499353","48","13416534512"
"0090","TOPIX-17 不動産","20250522","418.72","-1.75","-0.42","420.47","9905036136702","-41541516803","9946577653506","19810072273405","2365558734928","50","6263596820"
"0099","東証インフラファンド指数","20250522","637.49","-2.25","-0.35","639.74","82136682390","-289513845","82426196235","1642733647800","128843862039","5","152286720"
"0503","JPXプライム150指数","20250522","1193.7","-8.45","-0.7","1202.15","306775129301352","-2169475510061","308944604811413","205889348524397","256994175992456","149","143103096686"
"1000","TOPIX レバレッジ（2倍）指数","20250522","85181.62","-999.7","-1.16","86181.32","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20250522","1642.22","9.47","0.58","1632.75","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20250522","165.54","1.9","1.16","163.64","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20250522","39780.3","-401.82","-1","40182.12","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20250522","2660.96","13.24","0.5","2647.72","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20250522","464.8","4.6","1","460.2","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20250522","8313.12","-5.82","-0.07","8318.94","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20250522","6814.42","9.53","0.14","6804.89","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20250522","5389.07","-7.56","-0.14","5396.63","0","0","0","0","0","-","0"
"4030","TOPIX Micro Cap","20250522","11759.35","-49.26","-0.42","11808.61","11812110093493","-49489005857","11861599099350","1692279383022","10044870377733","698","10706686034"
"5000","東証プライム市場指数","20250522","1398.35","-8.13","-0.58","1406.48","515948386387463","-3001919735509","518950306122972","31711640220496","368970558054122","1627","255963325638"
"5001","東証スタンダード市場指数","20250522","1304.09","1.42","0.11","1302.67","10933161945367","9525632132","10923636313235","697267981210","8383778938003","1568","13209957674"
"5002","東証グロース市場指数","20250522","911.9","-2.37","-0.26","914.27","3263947435320","-12387232101","3276334667421","536833459757","3579291182989","608","5093101540"
"5003","東証プライム市場コンポジット指数","20250522","1398.08","-8.13","-0.58","1406.21","516093527214018","-3003032323812","519096559537830","31681616158012","369145481055848","1629","256037402814"
"8000","旧東証株価指数","20250522","2814.33","-15.58","-0.55","2829.91","937156825337146","-5188170842356","942344996179502","55518769273528","33299446291993","1688","474406920715"
"8100","TOPIX バリュー","20250522","3184.45","-20.56","-0.64","3205.01","266365782454041","-1719133885956","268084916339998","22535176180545","83645650495130","1182","144313209688"
"812C","TOPIX 500 バリュー","20250522","3087.67","-20.4","-0.66","3108.07","246427906424932","-1628608214461","248056514639393","64341489928181","79810348143052","383","131009861466"
"812D","TOPIX Small バリュー","20250522","4290.94","-19.48","-0.45","4310.42","19937876029109","-90525671495","20028401700604","2495353695758","4646506298238","799","13303348222"
"8200","TOPIX グロース","20250522","3289.62","-16.88","-0.51","3306.5","250120503256596","-1283480386196","251403983642792","24449707063206","76033282548374","1023","113049293949"
"822C","TOPIX 500 グロース","20250522","3317.04","-18.01","-0.54","3335.05","230976798090078","-1254063015911","232230861105988","88159083240488","69633370522422","262","100115204578"
"822D","TOPIX Small グロース","20250522","3023.89","-4.65","-0.15","3028.54","19143705166518","-29417370286","19173122536804","2515598576415","6330816277945","761","12934089372"
"8500","東証配当フォーカス100指数","20250522","3009.24","-21.93","-0.72","3031.17","224549299287081","-1636591255026","226185890542107","224549299287081","74619898401907","100","152707771521"
"8501","東証REITオフィス指数","20250522","1708.15","1.7","0.1","1706.45","5943748813235","5902728320","5937846084915","28303565777310","3479641645781","21","4408855040"
"8502","東証REIT住宅指数","20250522","2712.33","4.07","0.15","2708.26","1688113825164","2534751206","1685579073958","16881138251640","622385559873","10","1483808289"
"8503","東証REIT商業・物流等指数","20250522","2065.78","0.64","0.03","2065.14","6106733540466","1885182422","6104848358044","23487436694100","2956142551268","26","5528224641"
"8506","TOPIX Ex-Financials","20250522","2280.54","-13.38","-0.58","2293.92","440735227604571","-2584908855184","443320136459756","28054438421679","193258921733496","1571","220139444979"
"8507","JPX日経インデックス400","20250522","24657.48","-125.11","-0.5","24782.59","357272243715442","-1812783915838","359085027631280","89993008492555","144894051962076","397","180783411892"
"8508","JPX日経中小型株指数","20250522","19136.28","25.81","0.14","19110.47","6649942100786","8969011016","6640973089770","3375605127303","3475043599127","197","4357585362"
"8801","東証グロース市場Core指数","20250522","843.61","-6.74","-0.79","850.35","5721058198","-45712850","5766771048","31783656657","6781621737","18","0"
"8802","東証スタンダード市場TOP20","20250522","1241.69","0.44","0.04","1241.25","11566854517","4101134","11562753383","60878181668","9315384036","19","0"
"A128","TOPIX Core30 バリュー","20250522","13810.57","-113.73","-0.82","13924.3","91333064111583","-752082312283","92085146423867","507405911731019","66132705251870","18","50123716519"
"A129","TOPIX Large70 バリュー","20250522","12617.6","-79.08","-0.62","12696.68","75037691807909","-470293022835","75507984830744","147132729035116","59470668188978","51","38161227629"
"A12B","TOPIX Mid400 バリュー","20250522","11707.74","-59.41","-0.5","11767.15","80057150505439","-406232879343","80463383384782","25495907804280","68379662165985","314","42724917317"
"A228","TOPIX Core30 グロース","20250522","12087.42","-100.91","-0.83","12188.33","122783282585037","-1025083397378","123808365982416","511597010770988","101579399274093","24","65701351061"
"A229","TOPIX Large70 グロース","20250522","10865.83","-61.67","-0.56","10927.5","54072035431085","-306918578096","54378954009182","142294830081804","49763376236785","38","16349346796"
"A22B","TOPIX Mid400 グロース","20250522","11556.75","16.65","0.14","11540.1","54121480073955","77938959564","54043541114391","27060740036978","46831070675494","200","18064506720"
"A404","TOPIX高配当40指数","20250522","1982.49","-16.59","-0.83","1999.08","138457433689270","-1158701078629","139616134767898","346143584223174","69840062869760","40","109256721305"
"A406","TOPIX銀行業高配当指数","20250522","1007.12","-5.23","-0.52","1012.35","33683356173561","-174909109283","33858265282843","224555707823738","33445241916640","15","13542395935"
"A800","東証REIT Core指数","20250522","1011","0.09","0.01","1010.91","309202639980","26560770","309176079210","1030675466600","305839117338","30","0"
"A810","東証REIT物流フォーカス指数","20250522","815.71","0.53","0.07","815.18","95020602930","61549810","94959053120","678718592357","116488914111","14","0"
"A821","東証REITオフィスフォーカス指数","20250522","994.38","0.9","0.09","993.48","109249823110","98917710","109150905400","728332154067","109867784900","15","0"
"A822","東証REIT住宅フォーカス指数","20250522","870.63","0.99","0.11","869.64","91667467670","103904180","91563563490","611116451133","105288608065","15","0"
"A823","東証REITホテル＆リテールフォーカス指数","20250522","938.31","-0.93","-0.1","939.24","97075456650","-95579090","97171035740","647169711000","103457231585","15","0"
